name,language,handwritten,year_range
43223.pdf,de,True,1910-1914
43176.pdf,de,True,1910-1914
43147.pdf,de,True,1910-1914
43188.pdf,de,True,1910-1914
43341.pdf,de,True,1910-1914
43210.pdf,de,True,1910-1914
43262.pdf,de,True,1910-1914
43232.pdf,de,True,1910-1914
43224.pdf,de,True,1910-1914
43334.pdf,de,True,1910-1914
43318.pdf,de,True,1910-1914
43273.pdf,de,True,1910-1914
43155.pdf,de,True,1910-1914
43164.pdf,de,True,1910-1914
43146.pdf,de,True,1910-1914
43185.pdf,de,True,1910-1914
43158.pdf,de,True,1910-1914
42460.pdf,de,True,1890-1894
42417.pdf,de,True,1890-1894
42498.pdf,de,True,1890-1894
42499.pdf,de,True,1890-1894
42451.pdf,de,True,1890-1894
42556.pdf,de,True,1890-1894
42536.pdf,de,True,1890-1894
42422.pdf,de,True,1890-1894
42434.pdf,de,True,1890-1894
42454.pdf,de,True,1890-1894
42461.pdf,de,True,1890-1894
42473.pdf,de,True,1890-1894
42561.pdf,de,True,1890-1894
42426.pdf,de,True,1890-1894
42467.pdf,de,True,1890-1894
42470.pdf,de,True,1890-1894
42553.pdf,de,True,1890-1894
42440.pdf,de,True,1890-1894
59547.pdf,de,True,1890-1894
42424.pdf,de,True,1890-1894
42505.pdf,de,True,1890-1894
42542.pdf,de,True,1890-1894
42453.pdf,de,True,1890-1894
42533.pdf,de,True,1890-1894
42446.pdf,de,True,1890-1894
42413.pdf,de,True,1890-1894
42520.pdf,de,True,1890-1894
42459.pdf,de,True,1890-1894
42484.pdf,de,True,1890-1894
42547.pdf,de,True,1890-1894
42412.pdf,de,True,1890-1894
42506.pdf,de,True,1890-1894
42464.pdf,de,True,1890-1894
42495.pdf,de,True,1890-1894
42569.pdf,de,True,1890-1894
42428.pdf,de,True,1890-1894
42563.pdf,de,True,1890-1894
42416.pdf,de,True,1890-1894
42487.pdf,de,True,1890-1894
42538.pdf,de,True,1890-1894
42421.pdf,de,True,1890-1894
42088.pdf,de,True,1875-1879
42051.pdf,de,True,1875-1879
42106.pdf,de,True,1875-1879
42087.pdf,de,True,1875-1879
42044.pdf,de,True,1875-1879
42062.pdf,de,True,1875-1879
42080.pdf,de,True,1875-1879
42040.pdf,de,True,1875-1879
42108.pdf,de,True,1875-1879
42145.pdf,de,True,1875-1879
42141.pdf,de,True,1875-1879
42072.pdf,de,True,1875-1879
63966.pdf,de,True,1875-1879
42058.pdf,de,True,1875-1879
42097.pdf,de,True,1875-1879
42109.pdf,de,True,1875-1879
42120.pdf,de,True,1875-1879
42047.pdf,de,True,1875-1879
42081.pdf,de,True,1875-1879
42042.pdf,de,True,1875-1879
42055.pdf,de,True,1875-1879
42050.pdf,de,True,1875-1879
